nohup: ignoring input
Namespace(batchSize=48, chop=False, cuda=True, loss='1*VGG54+0.01*GDL', lr=0.0001, nEpochs=1000, patchSize=64, pre_train='./experiment/G_0.105.pth', rgb_range=255, seed=123, testBatchSize=1, threads=4)
===> Loading datasets
===> Building model
Let's use 4 GPUs!
load model from ./experiment/G_0.105.pth ...
success!
Preparing loss function:
1.000 * VGG54
0.010 * GDL
Setting up [LPIPS] perceptual loss: trunk [alex], v[0.1], spatial [off]
Loading model from: /root/miniconda3/lib/python3.7/site-packages/lpips/weights/v0.1/alex.pth
===> D_Epoch[1](180/2480): Loss: 0.638482
===========> G_Epoch[1](181/2480): Loss: 0.663259
===> D_Epoch[1](181/2480): Loss: 0.589414
===========> G_Epoch[1](182/2480): Loss: 0.704637
===> D_Epoch[1](182/2480): Loss: 0.556985
===========> G_Epoch[1](183/2480): Loss: 0.660283
===> D_Epoch[1](183/2480): Loss: 0.601315
===========> G_Epoch[1](184/2480): Loss: 0.816465
===> D_Epoch[1](184/2480): Loss: 0.565302
===========> G_Epoch[1](185/2480): Loss: 0.736095
===> D_Epoch[1](185/2480): Loss: 0.570836
===========> G_Epoch[1](186/2480): Loss: 0.776088
===> D_Epoch[1](186/2480): Loss: 0.522142
===========> G_Epoch[1](187/2480): Loss: 0.789840
===> D_Epoch[1](187/2480): Loss: 0.589005
===========> G_Epoch[1](188/2480): Loss: 0.597464
===> D_Epoch[1](188/2480): Loss: 0.600567
===========> G_Epoch[1](189/2480): Loss: 0.678025
===> D_Epoch[1](189/2480): Loss: 0.555706
===========> G_Epoch[1](190/2480): Loss: 0.803028
===> D_Epoch[1](190/2480): Loss: 0.579513
===========> G_Epoch[1](191/2480): Loss: 0.543961
===> D_Epoch[1](191/2480): Loss: 0.491181
===========> G_Epoch[1](192/2480): Loss: 0.863675
===> D_Epoch[1](192/2480): Loss: 0.567354
===========> G_Epoch[1](193/2480): Loss: 0.642777
===> D_Epoch[1](193/2480): Loss: 0.477565
===========> G_Epoch[1](194/2480): Loss: 0.786025
===> D_Epoch[1](194/2480): Loss: 0.514231
===========> G_Epoch[1](195/2480): Loss: 0.582855
===> D_Epoch[1](195/2480): Loss: 0.599158
===========> G_Epoch[1](196/2480): Loss: 0.588425
===> D_Epoch[1](196/2480): Loss: 0.589480
===========> G_Epoch[1](197/2480): Loss: 0.689541
===> D_Epoch[1](197/2480): Loss: 0.557195
===========> G_Epoch[1](198/2480): Loss: 0.738934
===> D_Epoch[1](198/2480): Loss: 0.645688
===========> G_Epoch[1](199/2480): Loss: 0.655434
===> D_Epoch[1](199/2480): Loss: 0.535646
===========> G_Epoch[1](200/2480): Loss: 0.772300
===> D_Epoch[1](200/2480): Loss: 0.555891
===========> G_Epoch[1](201/2480): Loss: 0.740632
===> D_Epoch[1](201/2480): Loss: 0.559277
===========> G_Epoch[1](202/2480): Loss: 0.750233
===> D_Epoch[1](202/2480): Loss: 0.518358
===========> G_Epoch[1](203/2480): Loss: 0.726710
===> D_Epoch[1](203/2480): Loss: 0.492752
===========> G_Epoch[1](204/2480): Loss: 0.760568
===> D_Epoch[1](204/2480): Loss: 0.586332
===========> G_Epoch[1](205/2480): Loss: 0.602720
===> D_Epoch[1](205/2480): Loss: 0.517712
===========> G_Epoch[1](206/2480): Loss: 0.580848
===> D_Epoch[1](206/2480): Loss: 0.558884
===========> G_Epoch[1](207/2480): Loss: 0.682984
===> D_Epoch[1](207/2480): Loss: 0.490756
===========> G_Epoch[1](208/2480): Loss: 0.728567
===> D_Epoch[1](208/2480): Loss: 0.581299
===========> G_Epoch[1](209/2480): Loss: 0.705431
===> D_Epoch[1](209/2480): Loss: 0.537841
===========> G_Epoch[1](210/2480): Loss: 0.696672
===> D_Epoch[1](210/2480): Loss: 0.525313
===========> G_Epoch[1](211/2480): Loss: 0.694733
===> D_Epoch[1](211/2480): Loss: 0.526057
===========> G_Epoch[1](212/2480): Loss: 0.697949
===> D_Epoch[1](212/2480): Loss: 0.483809
===========> G_Epoch[1](213/2480): Loss: 0.732901
===> D_Epoch[1](213/2480): Loss: 0.478802
===========> G_Epoch[1](214/2480): Loss: 0.684462
===> D_Epoch[1](214/2480): Loss: 0.487458
===========> G_Epoch[1](215/2480): Loss: 0.716361
===> D_Epoch[1](215/2480): Loss: 0.517616
===========> G_Epoch[1](216/2480): Loss: 0.721406
===> D_Epoch[1](216/2480): Loss: 0.511829
===========> G_Epoch[1](217/2480): Loss: 0.577743
===> D_Epoch[1](217/2480): Loss: 0.459310
===========> G_Epoch[1](218/2480): Loss: 0.797630
===> D_Epoch[1](218/2480): Loss: 0.462232
===========> G_Epoch[1](219/2480): Loss: 0.725482
===> D_Epoch[1](219/2480): Loss: 0.439448
===========> G_Epoch[1](220/2480): Loss: 0.692075
===> D_Epoch[1](220/2480): Loss: 0.520803
===========> G_Epoch[1](221/2480): Loss: 0.703123
===> D_Epoch[1](221/2480): Loss: 0.539063
===========> G_Epoch[1](222/2480): Loss: 0.578072
===> D_Epoch[1](222/2480): Loss: 0.561599
===========> G_Epoch[1](223/2480): Loss: 0.656922
===> D_Epoch[1](223/2480): Loss: 0.445248
===========> G_Epoch[1](224/2480): Loss: 0.554123
===> D_Epoch[1](224/2480): Loss: 0.549951
===========> G_Epoch[1](225/2480): Loss: 0.599126
===> D_Epoch[1](225/2480): Loss: 0.454373
===========> G_Epoch[1](226/2480): Loss: 0.713651
===> D_Epoch[1](226/2480): Loss: 0.527970
===========> G_Epoch[1](227/2480): Loss: 0.799909
===> D_Epoch[1](227/2480): Loss: 0.505719
===========> G_Epoch[1](228/2480): Loss: 0.709339
===> D_Epoch[1](228/2480): Loss: 0.508235
===========> G_Epoch[1](229/2480): Loss: 0.764700
===> D_Epoch[1](229/2480): Loss: 0.515341
===========> G_Epoch[1](230/2480): Loss: 0.652058
===> D_Epoch[1](230/2480): Loss: 0.552064
===========> G_Epoch[1](231/2480): Loss: 0.568701
===> D_Epoch[1](231/2480): Loss: 0.508367
===========> G_Epoch[1](232/2480): Loss: 0.668142
===> D_Epoch[1](232/2480): Loss: 0.527228
===========> G_Epoch[1](233/2480): Loss: 0.734339
===> D_Epoch[1](233/2480): Loss: 0.546706
===========> G_Epoch[1](234/2480): Loss: 0.732828
===> D_Epoch[1](234/2480): Loss: 0.488703
===========> G_Epoch[1](235/2480): Loss: 0.745559
===> D_Epoch[1](235/2480): Loss: 0.527095
===========> G_Epoch[1](236/2480): Loss: 0.726305
===> D_Epoch[1](236/2480): Loss: 0.484224
===========> G_Epoch[1](237/2480): Loss: 0.790897
===> D_Epoch[1](237/2480): Loss: 0.542074
